"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.43 ","0.50 ","0.39 ","0.30 "
"voc2","0.71 *","0.73 *","0.07 ","0.11 "
"voc3","0.77 **","0.68 *","0.18 ","0.18 "
"voc4","0.15 ","0.32 ","0.37 ","0.29 "
"voc5","0.05 ","-0.20 ","0.20 ","0.26 "
"voc6","0.28 ","0.44 ","0.08 ","0.26 "
"voc7","0.66 *","0.70 *","0.24 ","0.34 "
"voc8","0.60 ","0.59 ","0.18 ","0.23 "
"voc9","0.03 ","0.09 ","0.04 ","0.05 "
"voc10","0.65 *","0.69 *","0.25 ","0.37 "
"voc11","0.37 ","0.53 ","-0.08 ","0.22 "
"voc12","0.11 ","0.12 ","0.16 ","0.19 "
"voc13","0.25 ","0.60 ","0.21 ","0.35 "
"voc14","0.24 ","0.41 ","0.28 ","0.22 "
"voc15","0.35 ","0.39 ","0.17 ","0.06 "
"voc16","0.01 ","-0.13 ","0.34 ","0.29 "
"voc17","0.23 ","0.62 *","0.43 ","0.05 "
"total","0.23 ","0.43 ","0.18 ","0.26 "
