"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.45 ","-0.23 ","-0.36 ","-0.21 "
"voc2","-0.42 ","-0.38 ","-0.38 ","-0.36 "
"voc3","-0.33 ","-0.29 ","-0.36 ","-0.35 "
"voc4","-0.51 ","-0.17 ","-0.38 ","-0.08 "
"voc5","-0.66 ","0.08 ","-0.39 ","-0.36 "
"voc6","-0.58 ","-0.33 ","-0.42 ","-0.48 "
"voc7","-0.48 ","-0.32 ","-0.43 ","-0.41 "
"voc8","-0.58 ","-0.39 ","-0.59 *","-0.49 "
"voc9","-0.48 ","-0.03 ","-0.41 ","-0.39 "
"voc10","-0.45 ","-0.40 ","-0.42 ","-0.41 "
"voc11","-0.48 ","-0.36 ","-0.44 ","-0.31 "
"voc12","-0.46 ","-0.36 ","-0.43 ","-0.31 "
"voc13","-0.49 ","-0.37 ","-0.38 ","-0.22 "
"voc14","-0.47 ","-0.31 ","-0.31 ","-0.11 "
"voc15","-0.41 ","-0.34 ","-0.31 ","-0.22 "
"voc16","-0.59 ","0.02 ","-0.22 ","-0.33 "
"voc17","-0.43 ","-0.28 ","-0.30 ","-0.16 "
"total","-0.48 ","-0.36 ","-0.44 ","-0.27 "
