"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.42 ","0.53 ","0.40 ","0.32 "
"voc2","0.69 *","0.71 *","0.06 ","0.11 "
"voc3","0.77 **","0.68 *","0.16 ","0.18 "
"voc4","0.14 ","0.33 ","0.40 ","0.32 "
"voc5","0.01 ","-0.22 ","0.21 ","0.26 "
"voc6","0.27 ","0.45 ","0.11 ","0.28 "
"voc7","0.63 *","0.69 *","0.24 ","0.36 "
"voc8","0.54 ","0.55 ","0.20 ","0.24 "
"voc9","0.01 ","0.05 ","0.04 ","0.05 "
"voc10","0.63 *","0.67 *","0.25 ","0.37 "
"voc11","0.36 ","0.50 ","-0.04 ","0.25 "
"voc12","0.10 ","0.10 ","0.17 ","0.18 "
"voc13","0.24 ","0.58 ","0.24 ","0.37 "
"voc14","0.21 ","0.39 ","0.30 ","0.25 "
"voc15","0.33 ","0.39 ","0.18 ","0.08 "
"voc16","-0.01 ","-0.14 ","0.35 ","0.29 "
"voc17","0.21 ","0.62 *","0.45 ","0.07 "
"total","0.21 ","0.41 ","0.20 ","0.28 "
