"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.03 ","-0.28 ","-0.01 ","0.04 "
"voc2","-0.36 ","-0.54 ","-0.23 ","-0.21 "
"voc3","-0.34 ","-0.38 ","-0.21 ","-0.19 "
"voc4","-0.08 ","-0.19 ","-0.06 ","0.15 "
"voc5","0.11 ","0.24 ","0.02 ","-0.05 "
"voc6","-0.15 ","-0.51 ","-0.01 ","0.12 "
"voc7","-0.31 ","-0.56 ","-0.20 ","0.01 "
"voc8","-0.29 ","-0.35 ","-0.08 ","0.13 "
"voc9","0.13 ","0.16 ","-0.16 ","-0.04 "
"voc10","-0.45 ","-0.61 *","-0.12 ","0.07 "
"voc11","-0.33 ","-0.43 ","-0.15 ","0.04 "
"voc12","0.02 ","0.01 ","-0.02 ","-0.06 "
"voc13","-0.22 ","-0.46 ","-0.06 ","0.05 "
"voc14","-0.12 ","-0.31 ","0.17 ","0.10 "
"voc15","-0.16 ","-0.41 ","-0.07 ","-0.02 "
"voc16","0.07 ","0.09 ","0.08 ","0.02 "
"voc17","-0.21 ","-0.38 ","-0.01 ","-0.02 "
"total","-0.02 ","-0.27 ","-0.06 ","0.03 "
