"population","response","SE","df","lower.CL","upper.CL"
"Bon",26.0235925016691,3.01464547146313,23.9999999999999,20.1735664256422,32.6174113303846
"Cai",14.4723870034997,1.92518920316044,24.0000000000001,10.7717157855542,18.7185062400834
