"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.766091620636596,0.157099907513164,Inf,1,-1.29935021854914,0.193823767507691
"Control / (Herbivore-induced)","Cai",0.902624667004463,0.153762974122624,Inf,1,-0.601396470414184,0.547575948993841
