"population","response","SE","df","lower.CL","upper.CL"
"Bon",26.0235925016691,3.01464547146313,76,20.3657285422032,32.3741021688081
"Cai",14.4723870034997,1.92518920316044,76,10.8920104919949,18.5607037006314
