"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.815531830598373,0.068955320118113,Inf,1,-2.41169253928507,0.0158786654580913
"Control / (Herbivore-induced)","Cai",0.79074491577206,0.0569888810625164,Inf,1,-3.25767003037151,0.00112330940507772
