"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.621407284941039,0.138905408921278,Inf,1,-2.12839838702266,0.0333040667735686
"Control / (Herbivore-induced)","Cai",0.965758256748336,0.184438157476517,Inf,1,-0.182438855713438,0.855238334994645
