"contrast","population","estimate","SE","df","t.ratio","p.value"
"Control - (Herbivore-induced)","Bon",1.16238477079631,0.35340376771919,133.039258133988,3.28911255898077,0.00128626795652747
"Control - (Herbivore-induced)","Cai",0.878591757804181,0.31259216719942,133.607254016527,2.81066466148424,0.00568802793534525
