"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.764492623046472,0.0822710256550875,Inf,1,-2.49539940353304,0.0125815424059917
"Control / (Herbivore-induced)","Cai",0.944766068738492,0.086344361478536,Inf,1,-0.621692603527999,0.534144016108859
