"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.788887083349964,0.152780764954504,Inf,1,-1.22443709845061,0.220787381551554
"Control / (Herbivore-induced)","Cai",0.89899541017779,0.145688456622619,Inf,1,-0.657036605066989,0.511157379812421
