"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.794502342685746,0.141998233761985,Inf,1,-1.28710613631093,0.198057296938472
"Control / (Herbivore-induced)","Cai",0.842426365872315,0.129270808617697,Inf,1,-1.11742182968584,0.263814005705788
