"treatment","population","response","SE","df","asymp.LCL","asymp.UCL"
"Control","Bon",54.1585455344359,12.4985593451727,Inf,34.4531594985385,85.1343707542989
"Herbivore-induced","Bon",70.6946174353021,15.8777062861689,Inf,45.5208278755796,109.789939409358
"Control","Cai",57.2835989786003,11.1183542298685,Inf,39.1577659317363,83.799742755028
"Herbivore-induced","Cai",63.4634558135307,12.3907208291748,Inf,43.2846166924549,93.0494603293562
