"treatment","population","response","SE","df","lower.CL","upper.CL"
"Control","Bon",29.0476201411427,5.49083198696536,36.9154709248231,18.9867307661551,41.2394154853968
"Herbivore-induced","Bon",17.8692168121373,4.30237083450341,36.7749473937466,10.2136153806352,27.6520803326913
"Control","Cai",19.9361328010696,3.9037065985866,37.2201431515472,12.8122770881932,28.6284411912455
"Herbivore-induced","Cai",12.8622500230473,3.14406205237497,37.6111127393374,7.2832022945684,20.0171678123351
