"contrast","population","ratio","SE","df","null","z.ratio","p.value"
"Control / (Herbivore-induced)","Bon",0.895018746130223,0.125315509210809,Inf,1,-0.792137227619335,0.428280665298725
"Control / (Herbivore-induced)","Cai",0.984869048758269,0.117312949207588,Inf,1,-0.127998628722131,0.898150058236482
