"contrast","population","estimate","SE","df","t.ratio","p.value"
"Control - (Herbivore-induced)","Bon",1.22795696342803,0.355216221653276,128,3.45692817099616,0.000742092746360709
"Control - (Herbivore-induced)","Cai",1.06027471104719,0.304188998856733,128,3.48557875213153,0.000673191366769604
