ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
B53o3;B;53;o;3;0;3;0;6.404625335;0.420242127;0.393259401;2.990155515;9.669417473;0.243579579;2.21497269;0.376162887;3.169299245;0.194664227;0.884223253;2.379131961;0.455397027;0.446699514;2.903215694;3.633887025;0.573344675;37.35227763
B56o2;B;56;o;2;0;3;0;1.895001652;0.552587403;0.230066551;1.211874278;3.481763225;0.555905291;0.487777526;0.322134655;1.626033696;0.238213062;1.515328302;1.882681275;0.986719161;1.283082331;1.828228285;2.07808143;0.567911449;20.74338957
B56o3;B;56;o;3;0;3;0;3.372253334;1.855095777;0.531970096;1.7245291;0.345581984;0.506528134;1.388726345;0.219880973;1.19705745;0.237846813;1.725259549;0.958975137;1.457097126;1.218994855;5.582175459;0.32367252;1.046800596;23.69244525
B57o1;B;57;o;1;0;4;0;9.582411013;22.17074879;4.931782469;2.454942953;11.92833231;0.073802692;10.00003416;3.160244586;8.827013732;5.244226959;9.668374667;8.338218214;7.632335861;7.351352736;48.12032862;5.419655667;5.81029241;170.7140978
B57o2;B;57;o;2;0;4;0;2.657719487;3.259812397;0.78792957;1.005699371;2.643131663;0.335850453;1.490177359;0.19444103;3.372865638;1.101997307;1.463643118;2.003352973;2.62666317;8.737446496;10.74000459;3.438993644;6.05482077;51.91454904
B57o3;B;57;o;3;0;4;0;5.945987235;11.75600275;2.561699167;2.541759314;7.738614368;1.816886088;4.954073553;2.370634908;8.279149937;2.973677475;4.240877897;5.838745541;5.007054533;7.034968727;18.07544831;3.966774911;3.457080927;98.55943564
B60o1;B;60;o;1;0;3;0;10.97427927;17.17685443;3.886824689;3.971973775;8.520816394;2.129550531;6.818925679;1.92483455;6.172706594;3.679926718;5.05990181;5.215502424;3.506654041;4.162887638;14.69384205;3.325106269;3.40523266;104.6258195
B60o3;B;60;o;3;0;3;0;0.129964551;0.056194304;0.021198731;0.061549791;0.208915319;0.082157185;0.047978015;0.014609545;0.382730702;0.008562829;0.190680673;0.132011416;0.086037874;0.064614077;0.228338959;0.098852134;0.049883521;1.864279623
B61o1;B;61;o;1;0;3;0;14.29879875;11.40759465;2.652570453;8.613686308;48.01198975;3.975223456;3.742795332;2.270811272;57.01102192;1.940222032;4.305858241;30.01514375;4.643347566;15.48951893;34.02177057;11.36493026;2.852137774;256.617421
B61o2;B;61;o;2;0;3;0;18.79792751;17.46425814;4.029416306;5.788591305;93.08546985;5.089375074;5.704283937;1.396943029;77.20150033;2.527086796;8.85186497;39.39486327;8.304870628;9.049051395;40.22466828;55.0397606;10.70326676;402.6531982
B61o3;B;61;o;3;0;3;0;1.398990284;0.82042176;0.188718203;0.944726098;2.481993257;1.215837378;0.901321864;0.181223688;5.331802241;0.271098574;3.129009852;2.692083217;1.467107994;1.236641593;5.400574318;0.746552396;1.14897546;29.55707818
C1o1;C;1;o;1;0;4;0;10.67306658;2.971582493;1.124425659;5.675547924;11.61876952;6.021850912;4.500948194;2.294930702;6.294647659;1.42654565;1.191487957;4.636931438;4.558773858;3.823711447;10.33419819;4.27306092;2.3466049;83.767084
