ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
B53h3;B;53;h;3;0.0281;4;40;3.748785381;1.049126457;0.676672843;1.149438291;18.69051962;0.244934793;1.216073958;1.14440724;14.60544475;0.443175962;1.700804633;7.270217085;1.282616147;0.813534703;3.990376526;6.911936224;0.997785283;65.9358499
B56h1;B;56;h;1;0.0303;3;44;5.409868117;1.427930701;0.768463119;2.872376151;2.233528246;1.957090616;1.86917639;0.775704445;1.309494284;0.442703006;2.599052291;1.182644351;1.988219267;1.589774342;9.435380215;0.364894956;1.613833649;37.84013415
B56h2;B;56;h;2;0.0369;4;28;4.023543159;0.7810421;0.231248574;1.048466692;13.29034623;0.682688771;1.069710005;0.510845124;6.842265022;0.325684251;2.427510626;5.876339055;1.667318445;2.009893062;5.137034037;8.240729619;1.423588318;55.58825309
B56h3;B;56;h;3;0.0291;4;22;4.416190301;2.005773132;0.857197974;1.816022922;1.023849984;0.635748025;1.398646789;0.409160414;1.236494135;0.61977333;1.999137576;1.313947716;1.642616207;1.127658548;4.694049561;0.579996879;1.118759131;26.89502262
B57h1;B;57;h;1;0.0459;4;17;10.623614;10.40888328;3.393955403;3.42320553;4.620289538;1.190209583;5.267271427;2.457590537;3.972805113;2.480372134;6.315340854;4.242750285;3.832288533;3.430988384;26.80097672;1.976271317;4.075206329;98.51201897
B57h2;B;57;h;2;0.043;4;25;9.952159993;10.01679074;2.94469597;5.795872913;4.049371259;0;4.044618413;1.500977747;4.072519008;2.348005064;4.033952684;3.325738945;2.315179276;2.803781064;8.368859251;1.381971006;1.947659041;68.90215237
B57h3;B;57;h;3;0.0303;3;22;17.63794092;18.63987731;4.838892073;9.304695367;13.37902189;3.103542825;8.168930956;5.055009062;8.727665639;3.329031958;5.631790931;6.857775781;5.968305114;6.347915666;33.84552228;6.094356575;6.551205986;163.4814803
B60h1;B;60;h;1;0.0444;3;67;15.05973989;25.54398594;6.796372583;5.620822496;10.48388049;4.648112478;11.21202109;2.452864675;9.131627417;5.282460457;9.653947276;8.161588752;8.432042179;7.803950791;32.3952478;3.332667838;5.806453427;171.8177856
B60h2;B;60;h;2;0.0273;4;19;5.191612963;10.80639367;2.070254143;0.956566502;5.330920848;0.426081128;6.35021927;1.587451863;7.057242494;3.067752577;5.689494736;5.830480555;5.22292416;4.159583277;19.54603802;3.604980351;3.592021274;90.49001783
B60h3;B;60;h;3;0.0259;3;12;3.270319452;0.886762183;0.377756486;0.941600996;2.58104632;1.034515029;0.868203639;0.165548846;6.282317144;0.446838536;3.750816393;2.65944973;1.955846709;1.467687189;2.508720981;0.667265809;0.674982855;30.5396783
B61h1;B;61;h;1;0.0284;3;35;7.516793346;7.037587092;1.0863378;2.501354302;25.57465747;1.086721172;1.957791612;0.842913458;18.30388872;0.419979498;3.019676968;13.50013751;2.373362336;3.581754009;11.94834067;8.999404107;3.112086209;112.8627863
B61h2;B;61;h;2;0.033;3;18;7.04411582;5.057619817;1.463133259;3.32664347;24.27552711;1.738323806;1.535064827;0.98116793;27.33169711;0.71737397;3.533615012;14.52233752;4.79885361;8.854945943;11.68391947;9.25918044;3.91040657;130.0339257
B61h3;B;61;h;3;0.0365;3;54;11.87312482;5.676182305;3.144060526;5.655344097;11.22992226;3.073538206;4.120167434;1.869133973;38.00024699;0;15.58761667;13.84179601;7.927462756;8.606348959;22.60116216;4.470621116;4.902802693;162.579531
C1h1;C;1;h;1;0.04;4;7;10.56033826;2.687111619;2.014223531;4.880642514;19.98218578;2.239301208;2.925870559;0.710297221;12.60959667;1.591335444;0.98146764;8.702639524;13.38486341;15.10920096;19.82862147;10.25898405;3.495771779;131.9624516
C1h2;C;1;h;2;0.0238;3;30;9.202753197;2.569193794;1.222188247;5.938869489;23.23832704;3.960921972;3.35737743;1.756970138;11.87523774;1.932344254;15.05539417;10.19982999;14.42015301;18.16266;22.23718956;19.51200166;0;164.6414117
C1h3;C;1;h;3;0.029;3;14;3.47928214;2.232226257;0.63730636;1.504158274;1.277259117;0;1.239910611;0;2.494636145;0.558933796;4.228212555;2.451210727;2.224855551;1.058367761;7.2378425;0.368128556;1.174279959;32.16661031
C5h1;C;5;h;1;0.0348;4;14;0.090730246;0.006611133;0;0.032146885;0.104185947;0.079530889;0.0092042;0.003435489;0.114636099;0.003905826;0.047239982;0.065712839;0.020536612;0.016514852;0.096437298;0.221309698;0.062454832;0.974592827
C5h2;C;5;h;2;0.0365;3;7;4.096530626;1.640003015;0;0;11.86704817;0.575697424;2.068866093;0.731112549;30.11241072;0.359890196;3.501322294;5.408629776;1.542680897;1.354644991;6.386706702;3.803094357;1.366134189;74.81477201
C5h3;C;5;h;3;0.0344;4;12;1.046170764;0.59327212;0;0.291787562;3.748264014;0.172118135;0.258797381;0.084437308;4.276655446;0.139800407;0.945739156;1.611625812;0.472102905;0.420023336;1.539207461;0.800488141;0.339925346;16.74041529
C8h1;C;8;h;1;0.0303;3;12;8.178765782;1.544600081;0.580477721;5.456918851;7.628101392;0.880489713;1.827024434;0.998281208;8.273156581;0.686094916;7.031966104;3.963065959;12.29451871;41.55852172;28.9988865;2.703711106;10.97874637;143.5833271
C8h2;C;8;h;2;0.0372;4;30;12.17571867;3.311517169;1.478720274;8.46568943;29.35912527;2.848503798;3.168987144;1.603529455;12.03170808;1.720384028;11.38229939;9.907450663;14.89075978;41.51123761;30.58930312;23.21830571;8.775569697;216.4388093
C8h3;C;8;h;3;0.0346;3;0;5.500923508;4.074210676;0.771485314;1.263266381;0;0.662395563;2.284938423;0;1.951421739;0;6.562847763;1.525067888;3.860813729;2.588972329;19.45440649;0;1.929141745;52.42989155
C13h1;C;13;h;1;0.0273;4;12;0.155726118;0.023474925;0.009230478;0.04850438;0.154276175;0;0.019824372;0.017420004;0.068708518;0.007047272;0.035374604;0.042771104;0.013040293;0.008714928;0.122602693;0.058723761;0.052394976;0.837834598
