ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;larva_receiver;size_receiver;herbivory_receiver
C64o2;C;64;c;2;0;4;0;0.0335;3;15
C64o3;C;64;c;3;0;3;0;0.032;3;65
C1h1;C;1;h;1;0.04;4;7;0.0452;4;14
C1h2;C;1;h;2;0.0238;3;30;0.0309;3;33
C1h3;C;1;h;3;0.029;3;14;0.0262;3;27
C5h1;C;5;h;1;0.0348;4;14;0.021;4;12
C5h2;C;5;h;2;0.0365;3;7;0.0271;3;15
C5h3;C;5;h;3;0.0344;4;12;0.0415;4;28
C8h1;C;8;h;1;0.0303;3;12;0.0317;4;0
C8h2;C;8;h;2;0.0372;4;30;0.0429;4;5
C8h3;C;8;h;3;0.0346;3;0;0.0244;4;16
C13h1;C;13;h;1;0.0273;4;12;0.025;4;9
C13h2;C;13;h;2;0.0254;4;12;0.0392;4;7
C13h3;C;13;h;3;0.0403;4;11;0.0332;4;25
C15h1;C;15;h;1;0.0283;3;14;0.0319;4;12
C15h2;C;15;h;2;0.0372;4;16;0.0318;3;12
C15h3;C;15;h;3;0.0312;4;9;0.0318;4;7
C19h1;C;19;h;1;0.0322;3;35;0.0345;3;35
C19h2;C;19;h;2;0.0379;3;45;0.0338;3;25
C19h3;C;19;h;3;0.0377;2;25;0.0322;4;15
C26h1;C;26;h;1;0.0367;3;20;0.036;3;5
C26h2;C;26;h;2;0.0268;4;18;0.0216;3;7
C26h3;C;26;h;3;0.0285;3;14;0.0201;3;9
C30h1;C;30;h;1;0.0424;3;25;0.0335;4;0
C30h2;C;30;h;2;0.0344;3;27;0.0301;3;4
C30h3;C;30;h;3;0.0437;4;0;0.0421;4;6
C34h1;C;34;h;1;0.0378;4;15;0.0344;4;38
C34h2;C;34;h;2;0.0388;4;24;0.0324;3;12
C34h3;C;34;h;3;0.0377;4;3;0.0333;4;22
C43h1;C;43;h;1;0.0264;4;8;0.0325;4;22
C43h2;C;43;h;2;0.0378;4;26;0.0323;4;10
C43h3;C;43;h;3;0.0336;4;15;0.033;4;18
C45h1;C;45;h;1;0.025;3;9;0.0282;3;24
C45h2;C;45;h;2;0.0294;3;12;0.0289;3;14
C45h3;C;45;h;3;0.02;3;8;0.0276;3;6
C50h1;C;50;h;1;0.0305;4;16;0.0221;4;8
C50h2;C;50;h;2;0.0343;3;45;0.0278;3;7
C50h3;C;50;h;3;0.028;3;10;0.0291;3;15
C55h1;C;55;h;1;0.0344;2;5;0.0219;2;5
C55h2;C;55;h;2;0.0275;3;55;0.0269;3;4
C55h3;C;55;h;3;0.0368;3;2;0.0248;3;14
C61h1;C;61;h;1;0.0305;4;17;0.0349;4;15
C61h2;C;61;h;2;0.0375;4;18;0.0231;4;13
C61h3;C;61;h;3;0.0341;4;7;0.0235;4;16
C64h1;C;64;h;1;0.0309;4;12;0.0255;4;5
C64h2;C;64;h;2;0.0364;4;26;0.0229;3;18
C64h3;C;64;h;3;0.0324;3;10;0.0238;4;9
