"treatment","population","response","SE","df","asymp.LCL","asymp.UCL"
"Control","Bon",56.3215289360752,16.4960831740963,Inf,31.722320561139,99.9962980508783
"Herbivore-induced","Bon",76.4031057963326,21.3775108921351,Inf,44.1515232431743,132.213662101183
"Control","Cai",59.4502301533891,14.7200944658303,Inf,36.5925710133314,96.5859945725954
"Herbivore-induced","Cai",65.606097801505,16.0885704816114,Inf,40.5699263909898,106.092380529844
