"treatment","population","response","SE","df","lower.CL","upper.CL"
"Control","Bon",29.0526867668619,5.49131083475756,30.9063309572005,18.9313153723808,41.3332717559309
"Herbivore-induced","Bon",17.8681572404616,4.30224327609104,30.7934050822397,10.16909098303,27.722830241569
"Control","Cai",19.9423698864826,3.90431719462608,31.1511934341321,12.7756051342686,28.6982876596774
"Herbivore-induced","Cai",12.8554284489439,3.14322820539293,31.4654650771703,7.24686159469631,20.0604911157984
