"contrast","population","estimate","SE","df","t.ratio","p.value"
"Control - (Herbivore-induced)","Bon",1.16298011863567,0.35340376771919,127.059379338309,3.29079716988123,0.00129336838142472
"Control - (Herbivore-induced)","Cai",0.88024130693959,0.31259216719942,127.57246862236,2.8159416623451,0.00563675876409289
