ID;population;PopGen;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
B37o2;B;B37;37;c;2;0;3;0;0.757394156;0.289010577;0;0.361454368;1.158672597;0.055228003;0.141363479;0.140063141;5.686441849;0.050113701;0.318356567;0.942259267;0.157634301;0.120115657;0.839108125;0.215948475;0.141465783;11.37463005
B37o3;B;B37;37;c;3;0;3;0;0.572920219;0.352703364;0.174381061;0.269488176;1.411235004;0.217739068;0.160211602;0.085700231;2.007733743;0.070574484;0.600326792;0.773476578;0.255664809;0.252806828;1.327232584;0.394148069;0.405685197;9.332027809
B53o1;B;B53;53;c;1;0;4;0;17.78125387;7.296119641;2.574617531;8.340160273;5.954364888;1.977168699;6.203969705;3.10599167;4.847067394;1.662904977;6.098349164;3.467622438;4.811191599;3.860386799;11.28203049;1.292820717;2.410331129;92.96635098
B53o2;B;B53;53;c;2;0;3;0;2.048615934;0.630792293;0.276484987;0.761413467;13.8926991;0.341912655;0.72200596;0.784275424;8.321092122;0.306870195;0.99565897;3.305339127;0.777574747;0.59399661;1.903096361;3.52872505;0.575725857;39.76627886
B53o3;B;B53;53;c;3;0;3;0;6.404625335;0.420242127;0.393259401;2.990155515;9.669417473;0.243579579;2.21497269;0.376162887;3.169299245;0.194664227;0.884223253;2.379131961;0.455397027;0.446699514;2.903215694;3.633887025;0.573344675;37.35227763
B56o2;B;B56;56;c;2;0;3;0;1.895001652;0.552587403;0.230066551;1.211874278;3.481763225;0.555905291;0.487777526;0.322134655;1.626033696;0.238213062;1.515328302;1.882681275;0.986719161;1.283082331;1.828228285;2.07808143;0.567911449;20.74338957
B56o3;B;B56;56;c;3;0;3;0;3.372253334;1.855095777;0.531970096;1.7245291;0.345581984;0.506528134;1.388726345;0.219880973;1.19705745;0.237846813;1.725259549;0.958975137;1.457097126;1.218994855;5.582175459;0.32367252;1.046800596;23.69244525
B57o1;B;B57;57;c;1;0;4;0;9.582411013;22.17074879;4.931782469;2.454942953;11.92833231;0.073802692;10.00003416;3.160244586;8.827013732;5.244226959;9.668374667;8.338218214;7.632335861;7.351352736;48.12032862;5.419655667;5.81029241;170.7140978
B57o2;B;B57;57;c;2;0;4;0;2.657719487;3.259812397;0.78792957;1.005699371;2.643131663;0.335850453;1.490177359;0.19444103;3.372865638;1.101997307;1.463643118;2.003352973;2.62666317;8.737446496;10.74000459;3.438993644;6.05482077;51.91454904
B57o3;B;B57;57;c;3;0;4;0;5.945987235;11.75600275;2.561699167;2.541759314;7.738614368;1.816886088;4.954073553;2.370634908;8.279149937;2.973677475;4.240877897;5.838745541;5.007054533;7.034968727;18.07544831;3.966774911;3.457080927;98.55943564
B60o1;B;B60;60;c;1;0;3;0;10.97427927;17.17685443;3.886824689;3.971973775;8.520816394;2.129550531;6.818925679;1.92483455;6.172706594;3.679926718;5.05990181;5.215502424;3.506654041;4.162887638;14.69384205;3.325106269;3.40523266;104.6258195
B60o3;B;B60;60;c;3;0;3;0;0.129964551;0.056194304;0.021198731;0.061549791;0.208915319;0.082157185;0.047978015;0.014609545;0.382730702;0.008562829;0.190680673;0.132011416;0.086037874;0.064614077;0.228338959;0.098852134;0.049883521;1.864279623
B61o1;B;B61;61;c;1;0;3;0;14.29879875;11.40759465;2.652570453;8.613686308;48.01198975;3.975223456;3.742795332;2.270811272;57.01102192;1.940222032;4.305858241;30.01514375;4.643347566;15.48951893;34.02177057;11.36493026;2.852137774;256.617421
B61o2;B;B61;61;c;2;0;3;0;18.79792751;17.46425814;4.029416306;5.788591305;93.08546985;5.089375074;5.704283937;1.396943029;77.20150033;2.527086796;8.85186497;39.39486327;8.304870628;9.049051395;40.22466828;55.0397606;10.70326676;402.6531982
B61o3;B;B61;61;c;3;0;3;0;1.398990284;0.82042176;0.188718203;0.944726098;2.481993257;1.215837378;0.901321864;0.181223688;5.331802241;0.271098574;3.129009852;2.692083217;1.467107994;1.236641593;5.400574318;0.746552396;1.14897546;29.55707818
B3h1;B;B3;3;h;1;0.0205;3;35;0.855872108;0.519668503;0.151454228;0.329492884;2.334604825;0;0.443333567;0.268275577;2.413545084;0.165949748;0.435422787;1.203878893;0.323135427;0.229743806;0.740257311;0.546651653;0.154956998;11.1162434
B3h2;B;B3;3;h;2;0.0249;3;37;4.132388904;3.101094127;1.06450339;1.834341726;6.588074467;0.470753231;2.398614747;1.434648548;5.889691103;0.505090907;3.105585062;2.982188153;2.284123761;2.395045289;7.526608914;4.397283162;1.520573746;51.63060924
B3h3;B;B3;3;h;3;0.038;3;60;6.242535755;6.041621686;1.749458256;2.670044521;15.18004807;1.124203144;3.873779599;1.162909263;15.80572869;1.311122493;3.363319018;6.611733186;2.757613963;1.890161932;5.746771207;4.732697687;1.577770773;81.84151925
B14h1;B;B14;14;h;1;0.024;3;4;5.827948289;1.039122692;0.757967397;2.210282214;19.54076439;0.81010811;1.738844922;0.827536509;10.92330421;0.521771953;3.159044526;9.247595242;2.316290225;1.878597204;5.970792532;6.820915524;1.379083031;74.96996897
B14h2;B;B14;14;h;2;0.0302;4;37;4.878179956;0.956336191;0.808860855;2.166408971;0.375267669;0.447823602;0.845572268;0.27431344;1.787936816;0.244627743;1.375560947;0.79820152;0.864667637;1.080543426;4.93219904;0.188844682;1.271201682;23.29654644
B14h3;B;B14;14;h;3;0.028;3;25;3.667796699;0.818683369;0.595863509;1.563611927;2.492041495;0;0.997053566;0.244830691;2.628639656;0.290110263;2.035030991;2.645791088;1.442956873;1.530786194;4.939789913;1.697461995;1.073371175;28.6638194
B24h1;B;B24;24;h;1;0.0254;3;30;12.35177839;16.44864117;4.300266997;5.002307619;6.435157814;2.809354439;8.74454086;3.41974826;10.19301039;3.554724897;7.994869839;5.394526557;6.304510346;6.60789549;21.14815486;2.154705826;7.015304663;129.8794984
B24h2;B;B24;24;h;2;0.0597;3;70;6.412605603;10.41325789;2.607104405;2.002962788;3.944492907;1.23603285;4.258320563;2.273881096;4.355621046;2.338457307;3.908279304;3.147652167;2.905057173;2.787111478;8.407528783;0.94996267;2.202750599;64.15107863
B24h3;B;B24;24;h;3;0.0379;3;14;9.004391385;12.41073057;3.512225263;2.897438727;4.919211757;1.839629858;6.232743402;1.289294436;5.099515991;2.973585489;5.286175597;4.303034984;3.766859387;3.524774178;14.81506164;1.960823256;3.007532292;86.84302822
B28h1;B;B28;28;h;1;0.035;3;67;10.04007673;3.125689833;0.837456102;4.293014608;41.78586985;3.188844622;2.764733658;2.03161871;21.50251734;1.260392504;7.238919876;18.99760956;7.181159805;10.91647632;17.99500074;16.69570016;4.220451527;174.0755319
B28h2;B;B28;28;h;2;0.0408;3;10;4.900451665;0.963098655;0.204306653;2.344277872;14.67154412;1.235419405;0.991807183;0.787759907;6.871077237;0.614578475;2.844423772;5.964709785;3.317110642;6.293088355;9.238891064;7.387254621;3.204366509;71.83416592
B28h3;B;B28;28;h;3;0.0354;3;28;10.99046653;4.894653724;0;5.194610258;8.372703564;4.146348884;4.614256737;2.728151261;12.12486236;0.90120255;13.25262243;6.497464503;4.435786728;4.145870762;40.05299913;3.538814836;4.485337583;130.3761518
B30h1;B;B30;30;h;1;0.0254;3;16;1.021509384;0.432225907;0.03613177;0.400679008;4.66720542;0.118361255;0.309835929;0.161861622;6.294059497;0.112886247;0.607526048;1.858349088;0.362321153;0.246267989;1.045268711;1.245807265;0.204683577;19.12497987
B30h2;B;B30;30;h;2;0.035;3;40;2.097294049;0.951447321;0.368182708;0.899309535;10.27774788;0.717650183;0.794520309;0.296700724;17.33401238;0.376740139;1.713893858;4.997298941;0.753543175;0.692868923;3.518212059;2.596312163;0.836087971;49.22182232
B30h3;B;B30;30;h;3;0.0353;2;2;3.487007464;0;0.124679879;1.686758494;3.425724698;0.14935358;0.414121929;0.32308628;4.856371783;0;2.367710853;2.358897119;1.184527741;0.479338804;4.249948923;0.872626112;1.056260601;27.03641426
B37h1;B;B37;37;h;1;0.0375;4;17;0.817749556;0.275278158;0;0.426018207;2.449166899;0.115254507;0.24048404;0.119782148;5.379188794;0.118861326;0.494696393;1.319320337;0.238295608;0.208756094;1.290562713;0.364415806;0.215865265;14.07369585
B37h2;B;B37;37;h;2;0.0272;4;35;3.014839502;1.09977968;0.411359827;1.409354221;8.106995248;0.347595414;0.630191438;1.326393303;11.48114764;0.278334524;1.492539083;3.7920362;1.011836034;1.043764346;3.641352351;2.149373125;1.030887637;42.26777957
B37h3;B;B37;37;h;3;0.0377;4;0;10.06610174;5.859614798;0;5.262577498;18.57235237;3.565415693;4.655363858;2.701582986;27.15714249;1.813522716;18.17807958;12.59736762;9.679959854;8.68201799;21.36360402;8.676898059;8.583875394;167.4154767
B53h1;B;B53;53;h;1;0.0254;3;10;0.081175878;0.091358035;0.032292478;0.0304147;0.12463303;0.035730257;0.202986198;0.016074606;0.058227484;0.028392035;0.082397761;0.040159543;0.077868542;0.076000344;0.212747991;0.018261614;0.046753728;1.255474224
B53h2;B;B53;53;h;2;0.0416;3;37;1.10510612;0.313697197;0.092609475;0.573046319;8.02052314;0.131666245;0.412918452;0.564261398;6.023250432;0.140195822;0.508709404;3.077545264;0.49157745;0.258184319;1.382472752;0.864529673;0.429684232;24.38997769
B53h3;B;B53;53;h;3;0.0281;4;40;3.748785381;1.049126457;0.676672843;1.149438291;18.69051962;0.244934793;1.216073958;1.14440724;14.60544475;0.443175962;1.700804633;7.270217085;1.282616147;0.813534703;3.990376526;6.911936224;0.997785283;65.9358499
B56h1;B;B56;56;h;1;0.0303;3;44;5.409868117;1.427930701;0.768463119;2.872376151;2.233528246;1.957090616;1.86917639;0.775704445;1.309494284;0.442703006;2.599052291;1.182644351;1.988219267;1.589774342;9.435380215;0.364894956;1.613833649;37.84013415
B56h2;B;B56;56;h;2;0.0369;4;28;4.023543159;0.7810421;0.231248574;1.048466692;13.29034623;0.682688771;1.069710005;0.510845124;6.842265022;0.325684251;2.427510626;5.876339055;1.667318445;2.009893062;5.137034037;8.240729619;1.423588318;55.58825309
B56h3;B;B56;56;h;3;0.0291;4;22;4.416190301;2.005773132;0.857197974;1.816022922;1.023849984;0.635748025;1.398646789;0.409160414;1.236494135;0.61977333;1.999137576;1.313947716;1.642616207;1.127658548;4.694049561;0.579996879;1.118759131;26.89502262
B57h1;B;B57;57;h;1;0.0459;4;17;10.623614;10.40888328;3.393955403;3.42320553;4.620289538;1.190209583;5.267271427;2.457590537;3.972805113;2.480372134;6.315340854;4.242750285;3.832288533;3.430988384;26.80097672;1.976271317;4.075206329;98.51201897
B57h2;B;B57;57;h;2;0.043;4;25;9.952159993;10.01679074;2.94469597;5.795872913;4.049371259;0;4.044618413;1.500977747;4.072519008;2.348005064;4.033952684;3.325738945;2.315179276;2.803781064;8.368859251;1.381971006;1.947659041;68.90215237
B57h3;B;B57;57;h;3;0.0303;3;22;17.63794092;18.63987731;4.838892073;9.304695367;13.37902189;3.103542825;8.168930956;5.055009062;8.727665639;3.329031958;5.631790931;6.857775781;5.968305114;6.347915666;33.84552228;6.094356575;6.551205986;163.4814803
B60h1;B;B60;60;h;1;0.0444;3;67;15.05973989;25.54398594;6.796372583;5.620822496;10.48388049;4.648112478;11.21202109;2.452864675;9.131627417;5.282460457;9.653947276;8.161588752;8.432042179;7.803950791;32.3952478;3.332667838;5.806453427;171.8177856
B60h2;B;B60;60;h;2;0.0273;4;19;5.191612963;10.80639367;2.070254143;0.956566502;5.330920848;0.426081128;6.35021927;1.587451863;7.057242494;3.067752577;5.689494736;5.830480555;5.22292416;4.159583277;19.54603802;3.604980351;3.592021274;90.49001783
B60h3;B;B60;60;h;3;0.0259;3;12;3.270319452;0.886762183;0.377756486;0.941600996;2.58104632;1.034515029;0.868203639;0.165548846;6.282317144;0.446838536;3.750816393;2.65944973;1.955846709;1.467687189;2.508720981;0.667265809;0.674982855;30.5396783
B61h1;B;B61;61;h;1;0.0284;3;35;7.516793346;7.037587092;1.0863378;2.501354302;25.57465747;1.086721172;1.957791612;0.842913458;18.30388872;0.419979498;3.019676968;13.50013751;2.373362336;3.581754009;11.94834067;8.999404107;3.112086209;112.8627863
B61h2;B;B61;61;h;2;0.033;3;18;7.04411582;5.057619817;1.463133259;3.32664347;24.27552711;1.738323806;1.535064827;0.98116793;27.33169711;0.71737397;3.533615012;14.52233752;4.79885361;8.854945943;11.68391947;9.25918044;3.91040657;130.0339257
B61h3;B;B61;61;h;3;0.0365;3;54;11.87312482;5.676182305;3.144060526;5.655344097;11.22992226;3.073538206;4.120167434;1.869133973;38.00024699;0;15.58761667;13.84179601;7.927462756;8.606348959;22.60116216;4.470621116;4.902802693;162.579531
C1o1;C;C1;1;c;1;0;4;0;10.67306658;2.971582493;1.124425659;5.675547924;11.61876952;6.021850912;4.500948194;2.294930702;6.294647659;1.42654565;1.191487957;4.636931438;4.558773858;3.823711447;10.33419819;4.27306092;2.3466049;83.767084
C1o2;C;C1;1;c;2;0;3;0;10.97625379;3.496693128;2.009065475;6.09732781;15.49232351;4.589423942;4.420570818;2.117663342;10.09718941;2.009203879;10.83842298;5.665684656;7.454262355;6.352040968;19.22327563;4.856731881;4.369756705;120.0658903
C1o3;C;C1;1;c;3;0;3;0;2.499461861;2.326653526;0.753416557;1.826012139;0;0.328399349;1.268490708;0.868137163;1.548548276;0.427216695;3.155265628;0.8664633;1.796977661;1.098585821;2.193714411;0;0.462383455;21.41972655
C5o1;C;C5;5;c;1;0;3;0;2.582312771;0.264120682;0;1.16564243;4.199185939;0.10909632;0.399917877;0.336225997;2.495756079;0;1.309508587;2.075153222;0.617537313;0.452470844;1.822105315;1.326420887;0.569724311;19.72517858
C5o2;C;C5;5;c;2;0;3;0;2.458733483;0;0;1.630399361;1.116648578;0;0;0.093017918;0.572724001;0;0.531076344;0.32759593;0.09217346;1.920399899;5.239630592;0.92000034;1.511478114;16.41387802
C5o3;C;C5;5;c;3;0;3;0;2.562526657;1.110970615;0;0.509891105;8.710113801;0.313144734;0.931118954;0.781119897;21.39943005;0;2.713212675;5.688568894;1.186725046;1.240730745;5.410478042;2.999437598;1.194896861;56.75236567
C8o1;C;C8;8;c;1;0;4;0;10.88957384;2.144599303;0.959715894;4.560298847;21.73337577;4.918641115;2.620537389;1.503859555;7.163602251;1.05261324;6.596823908;11.21854731;5.241563924;5.784153042;13.52558965;9.247031627;2.579884749;111.7404114
C8o2;C;C8;8;c;2;0;3;0;8.035386852;2.076507861;0.916824894;3.869107164;21.68819643;4.6171786;2.488086842;0.85231699;6.986833682;1.249584992;5.406506667;5.94645589;4.833345992;7.778874217;10.73354346;9.229903328;1.945544501;98.65419836
C8o3;C;C8;8;c;3;0;3;0;1.518497603;0.897797378;0;1.062041972;0;0;0.42307728;0;0.684453097;0;1.626345639;0.626943804;0.694764942;0.466585425;4.017463818;0;0.901265621;12.91923658
C13o1;C;C13;13;c;1;0;3;0;2.090762991;0.319056463;0.255199687;1.276599831;1.049208455;0;0.588333397;0.615712138;1.38402254;0.133323226;1.298015136;0.834974542;0.574933354;0.727579628;5.626976967;0.553075844;0.871265588;18.19903979
C13o2;C;C13;13;c;2;0;3;0;2.157770417;0.579666019;0.259523804;1.042573827;1.822444134;0.116559326;0.351932015;0.352170187;0.983885344;0.178012567;0.466718557;0.596085143;0.180615269;0.168222968;1.496995843;0.313291706;0.40124586;11.46771299
C13o3;C;C13;13;c;3;0;3;0;2.571366759;0.665196805;0.29657821;1.039248;0.597984157;0;0.646065864;0.323173247;0.878109155;0.199930681;1.084033698;0.632102547;0.940396796;1.025639105;5.209614105;0.356640933;1.645689082;18.11176915
C15o1;C;C15;15;c;1;0;4;0;2.780644068;1.406744252;0.417236271;0.572162107;11.34540297;0.68393748;1.132055293;0.388477046;5.336926991;0.646592668;3.520688441;4.718837807;1.750323828;3.069402098;4.764127193;4.918624579;1.090791335;48.54297443
C15o2;C;C15;15;c;2;0;3;0;2.605202552;0.624197436;0.232696645;1.286237163;7.353670418;0.153794359;0.956212404;0.558985291;7.788671297;0.271688967;1.377861299;3.968859771;1.277212693;1.215362751;5.122628805;3.790140119;1.887264147;40.47068612
C15o3;C;C15;15;c;3;0;4;0;1.918255804;1.02723006;0.695587894;1.044127062;7.478803726;1.436209118;1.241935613;0.319260501;4.58567736;0.507792307;4.463903315;3.506509927;2.589872602;2.24520258;4.198708818;3.514936421;1.22287197;41.99688508
C19o2;C;C19;19;c;2;0;4;0;4.356630221;1.537441275;0.778065516;0.76948305;2.228970828;1.518904852;1.124499001;0.505339018;8.832149961;0.486700372;3.476725118;6.785012416;1.832486445;2.062189871;6.828312342;6.080470737;1.12456715;50.32794817
C19o3;C;C19;19;c;3;0;4;0;4.660734905;1.524875415;0.681953909;2.164308301;0.247931556;0.382010007;1.285539632;0.500187411;2.147775841;0.438935302;1.903496922;1.012789261;1.681546384;1.726537718;4.702596844;0.348411782;1.437727818;26.84735901
C26o1;C;C26;26;c;1;0;3;0;5.217593626;1.744603164;0.784662071;3.0372758;4.982303326;0.4389197;1.808237351;0.989277325;3.929006398;0.908193941;0.51629092;2.317387935;4.097238394;2.996652967;7.250138953;1.757289431;1.214327733;43.98939904
C26o2;C;C26;26;c;2;0;3;0;8.841304313;2.911864434;1.096208806;5.472284566;8.963282902;2.736021184;3.62574072;0.951883487;6.194419776;1.346301649;1.114309011;3.726325222;5.884383124;3.985766877;11.1859348;2.669860979;2.270954096;72.97684595
C26o3;C;C26;26;c;3;0;4;0;2.449834311;1.7310037;0.380715797;1.490237375;0;0;1.066587284;0.573263161;1.270689422;0;3.027577845;1.022491232;1.873873265;0.993618789;4.949339175;0;1.091933396;21.92116475
C30o1;C;C30;30;c;1;0;3;0;9.216340825;14.11749494;3.032968332;4.405432164;52.48614621;2.068559649;4.034032303;1.341623443;44.54695512;1.413375006;11.64444149;25.01193273;12.30383769;8.804820381;23.63832365;35.07498781;4.328153862;257.4694256
C30o2;C;C30;30;c;2;0;4;0;8.167840524;7.030375945;1.87177098;4.257976289;20.47999693;2.964965168;2.215481756;0.796571059;32.62487188;1.056120408;3.46371823;13.87953762;3.35129106;3.415156182;8.870532264;9.807461893;2.187155722;126.4408239
C30o3;C;C30;30;c;3;0;3;0;6.773241696;1.453552451;0.482988199;4.964273873;6.144033549;2.774048155;2.089660302;0.864550758;4.741323847;0.59772041;5.566815115;3.863421715;2.644244124;1.682461312;11.01229402;0.867902042;2.871880572;59.39441214
C34o1;C;C34;34;c;1;0;3;0;4.346363646;0.904499515;0.650679986;2.173503445;7.502623031;1.335854482;1.226558323;0.811067211;8.611346234;0.411378183;4.589823108;6.803199182;2.715377161;2.611991608;4.668145561;3.794097914;1.555260439;54.71176903
C34o2;C;C34;34;c;2;0;3;0;3.37203068;0.715557566;0.591498943;1.700703862;5.619062148;0.848685387;0.935827538;0.590621482;9.120536156;0.410777826;3.660761518;5.935446674;1.922684567;1.913114564;5.123347397;2.866939514;1.630982567;46.95857839
C34o3;C;C34;34;c;3;0;4;0;4.091998129;0.801626442;0.446167214;1.642782994;7.988650723;0;1.107327282;0.319043371;7.417508797;0.356742738;1.453463652;4.325434387;1.366294438;1.760650312;9.93490251;7.23803633;4.723053758;54.97368308
C43o2;C;C43;43;c;2;0;4;0;3.119434183;0.342462443;0.24858084;1.51533832;5.956172269;0;0.717611747;0.564328593;7.230571974;0.219363379;1.267825699;3.575021549;0.816260313;0.673334565;4.207315909;3.323380741;1.037207548;34.81421007
C43o3;C;C43;43;c;3;0;4;0;2.874459427;0.846933675;0.604498979;1.615685305;1.380623044;0;1.526947149;0.368765755;1.054108897;0.37133823;1.727046027;0.819334579;1.573938956;1.219260692;3.687366894;0.253501499;1.060036183;20.98384529
C45o1;C;C45;45;c;1;0;3;0;1.962819302;0;0;1.195585505;0;0;0.265646887;0;0.679907205;0;0.949937873;0.474681571;0.381961346;0;3.250880712;0;0.434252593;9.595672994
C45o2;C;C45;45;c;2;0;3;0;3.858796413;4.331449049;1.556968769;2.698581739;0;0.58866513;1.752609117;0.3985823;2.34584476;1.039222284;6.666201203;1.373559448;3.307379554;1.832422035;6.306072893;0;1.141915802;39.1982705
C45o3;C;C45;45;c;3;0;3;0;6.292767733;5.220129702;1.453164925;3.928008862;0;0.706924993;4.120362584;0.658310962;4.522851506;1.487021703;9.176456319;3.406766504;6.203617751;3.69636446;21.8545137;0.66824886;3.642688489;77.03819905
C50o1;C;C50;50;c;1;0;3;0;23.09339814;31.15349536;8.59727795;9.108228016;97.84710561;7.671904551;9.878073354;4.764100751;89.84205038;4.175678303;13.81279717;52.5449757;11.11289439;14.9213787;36.70771542;33.04217411;7.055006628;455.3282545
C50o2;C;C50;50;c;2;0;4;0;10.46510372;11.67093401;2.399747104;4.353562763;29.98736885;1.435562694;2.875581832;2.054441065;65.9352312;1.559885171;5.981545402;23.08685281;5.731362565;6.136304296;32.54141007;13.55845665;3.641864598;223.4152148
C50o3;C;C50;50;c;3;0;4;0;2.005477017;0;0;1.079531744;0;0;0.303611908;0.279399984;0.469803315;0;1.122435694;0.349316737;0.454276654;0.141735844;0.801827492;0;0.245288498;7.252704886
C55o1;C;C55;55;c;1;0;3;0;7.119775813;1.4834594;0.98949239;4.289250889;10.63422036;2.00493484;1.947530302;0.999749385;7.260389137;0.903540509;0.727175795;5.356283605;5.924245876;5.40047389;7.518490841;4.837669735;1.849079559;69.24576233
C55o2;C;C55;55;c;2;0;3;0;19.98525783;3.3110413;0.942042755;12.98369474;41.05594974;5.217730442;5.049007739;2.897678339;17.52190637;2.249651368;16.58807754;19.93479427;11.06379588;13.37848441;19.00521033;20.69278982;4.442218987;216.3193319
C55o3;C;C55;55;c;3;0;3;0;2.486267988;1.540611588;0.464921852;1.11180509;0;0;0.880832876;0;1.22839613;0;2.98592058;1.221385266;1.695505271;1.147639509;4.651059656;0;1.41328728;20.82763309
C61o1;C;C61;61;c;1;0;4;0;4.590632177;3.129391022;1.079118432;1.54639137;14.49407261;0.842375594;2.366685999;0.982948614;7.660503422;1.045934346;2.420540541;5.922663264;1.881563624;1.368166106;3.58998724;3.812676024;1.111198237;57.84484863
C61o2;C;C61;61;c;2;0;4;0;2.776275077;1.661065471;0.529351518;1.080056886;4.138565572;0.181964295;0.900671588;0.600378829;4.366840759;0.2986269;0.876078567;1.806300651;0.544177667;0.397964567;1.51736967;0.920970394;0.263122499;22.85978091
C61o3;C;C61;61;c;3;0;4;0;0.824168494;0.387275843;0.139037715;0.423069645;1.672826886;0.094210924;0.301484678;0.195431076;1.764517674;0.140587853;0.293298628;0.804114948;0.211599454;0.150109978;0.610679713;0.304357448;0.107725765;8.424496722
C64o1;C;C64;64;c;1;0;3;0;1.201781793;0.915830917;0.269703706;0.888381805;2.107836408;0.369020423;0.570727093;0.36886164;3.645382806;0.25996838;2.314767578;1.528686943;1.398699339;0.892624577;2.022680476;0.469175451;0.363012249;19.58714158
C64o2;C;C64;64;c;2;0;4;0;5.780850322;1.170270131;0;2.793491486;4.009145279;1.337524206;1.064131198;0.878997846;8.958215043;0.145450495;6.620199585;4.334136854;2.592712338;2.25128668;9.602743013;1.208353564;2.146730034;54.89423807
