ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
B14h3;B;14;h;3;3.667796699;1.697461995;0.244830691;1.442956873;0.997053566;3.668796699;1.698461995;0.245830691;1.443956873;0.998053566
B24h1;B;24;h;3;12.35177839;2.154705826;3.41974826;6.304510346;8.74454086;12.35277839;2.155705826;3.42074826;6.305510346;8.74554086
B24h2;B;24;h;3;6.412605603;0.94996267;2.273881096;2.905057173;4.258320563;6.413605603;0.95096267;2.274881096;2.906057173;4.259320563
B24h3;B;24;h;3;9.004391385;1.960823256;1.289294436;3.766859387;6.232743402;9.005391385;1.961823256;1.290294436;3.767859387;6.233743402
B28h1;B;28;h;3;10.04007673;16.69570016;2.03161871;7.181159805;2.764733658;10.04107673;16.69670016;2.03261871;7.182159805;2.765733658
B28h2;B;28;h;3;4.900451665;7.387254621;0.787759907;3.317110642;0.991807183;4.901451665;7.388254621;0.788759907;3.318110642;0.992807183
B28h3;B;28;h;3;10.99046653;3.538814836;2.728151261;4.435786728;4.614256737;10.99146653;3.539814836;2.729151261;4.436786728;4.615256737
B30h1;B;30;h;3;1.021509384;1.245807265;0.161861622;0.362321153;0.309835929;1.022509384;1.246807265;0.162861622;0.363321153;0.310835929
B30h2;B;30;h;3;2.097294049;2.596312163;0.296700724;0.753543175;0.794520309;2.098294049;2.597312163;0.297700724;0.754543175;0.795520309
B30h3;B;30;h;2;3.487007464;0.872626112;0.32308628;1.184527741;0.414121929;3.488007464;0.873626112;0.32408628;1.185527741;0.415121929
B37h1;B;37;h;4;0.817749556;0.364415806;0.119782148;0.238295608;0.24048404;0.818749556;0.365415806;0.120782148;0.239295608;0.24148404
B37h2;B;37;h;4;3.014839502;2.149373125;1.326393303;1.011836034;0.630191438;3.015839502;2.150373125;1.327393303;1.012836034;0.631191438
B37h3;B;37;h;4;10.06610174;8.676898059;2.701582986;9.679959854;4.655363858;10.06710174;8.677898059;2.702582986;9.680959854;4.656363858
B53h1;B;53;h;3;0.081175878;0.018261614;0.016074606;0.077868542;0.202986198;0.082175878;0.019261614;0.017074606;0.078868542;0.203986198
B53h2;B;53;h;3;1.10510612;0.864529673;0.564261398;0.49157745;0.412918452;1.10610612;0.865529673;0.565261398;0.49257745;0.413918452
B53h3;B;53;h;4;3.748785381;6.911936224;1.14440724;1.282616147;1.216073958;3.749785381;6.912936224;1.14540724;1.283616147;1.217073958
B56h1;B;56;h;3;5.409868117;0.364894956;0.775704445;1.988219267;1.86917639;5.410868117;0.365894956;0.776704445;1.989219267;1.87017639
B56h2;B;56;h;4;4.023543159;8.240729619;0.510845124;1.667318445;1.069710005;4.024543159;8.241729619;0.511845124;1.668318445;1.070710005
B56h3;B;56;h;4;4.416190301;0.579996879;0.409160414;1.642616207;1.398646789;4.417190301;0.580996879;0.410160414;1.643616207;1.399646789
B57h1;B;57;h;4;10.623614;1.976271317;2.457590537;3.832288533;5.267271427;10.624614;1.977271317;2.458590537;3.833288533;5.268271427
B57h2;B;57;h;4;9.952159993;1.381971006;1.500977747;2.315179276;4.044618413;9.953159993;1.382971006;1.501977747;2.316179276;4.045618413
B57h3;B;57;h;3;17.63794092;6.094356575;5.055009062;5.968305114;8.168930956;17.63894092;6.095356575;5.056009062;5.969305114;8.169930956
B60h1;B;60;h;3;15.05973989;3.332667838;2.452864675;8.432042179;11.21202109;15.06073989;3.333667838;2.453864675;8.433042179;11.21302109
B60h2;B;60;h;4;5.191612963;3.604980351;1.587451863;5.22292416;6.35021927;5.192612963;3.605980351;1.588451863;5.22392416;6.35121927
B60h3;B;60;h;3;3.270319452;0.667265809;0.165548846;1.955846709;0.868203639;3.271319452;0.668265809;0.166548846;1.956846709;0.869203639
B61h1;B;61;h;3;7.516793346;8.999404107;0.842913458;2.373362336;1.957791612;7.517793346;9.000404107;0.843913458;2.374362336;1.958791612
B61h2;B;61;h;3;7.04411582;9.25918044;0.98116793;4.79885361;1.535064827;7.04511582;9.26018044;0.98216793;4.79985361;1.536064827
B61h3;B;61;h;3;11.87312482;4.470621116;1.869133973;7.927462756;4.120167434;11.87412482;4.471621116;1.870133973;7.928462756;4.121167434
C1o1;C;1;c;4;10.67306658;4.27306092;2.294930702;4.558773858;4.500948194;10.67406658;4.27406092;2.295930702;4.559773858;4.501948194
